serial,end_surgeme_frame_id,start_new_video,start_new_pegtransfer,ground_truth,prediction,mispredict_in_trial,pass_type,pegs_initial_configuration,tilt,target_pole,side_of_pole
1,S6_T5_color_frame519.jpg,1,1,0,0,0,L-R,"[2, 3, 5]",3,3,L
2,S6_T5_color_frame752.jpg,0,0,1,1,0,L-R,"[2, 3, 5]",3,3,L
3,S6_T5_color_frame874.jpg,0,0,2,2,0,L-R,"[2, 3, 5]",3,3,L
4,S6_T5_color_frame1043.jpg,0,0,3,3,0,L-R,"[2, 3, 5]",3,3,LR
5,S6_T5_color_frame1240.jpg,0,0,4,4,0,L-R,"[2, 3, 5]",3,3,LR
6,S6_T5_color_frame1333.jpg,0,0,5,5,0,L-R,"[2, 3, 5]",3,3,R
7,S6_T5_color_frame1529.jpg,0,0,6,6,0,L-R,"[2, 3, 5]",3,3,R
8,S6_T5_color_frame1630.jpg,0,1,0,0,0,L-R,"[2, 3, 5]",3,5,L
9,S6_T5_color_frame1781.jpg,0,0,1,1,0,L-R,"[2, 3, 5]",3,5,L
10,S6_T5_color_frame1848.jpg,0,0,2,2,0,L-R,"[2, 3, 5]",3,5,L
11,S6_T5_color_frame1887.jpg,0,0,3,3,0,L-R,"[2, 3, 5]",3,5,LR
12,S6_T5_color_frame2048.jpg,0,0,4,4,0,L-R,"[2, 3, 5]",3,5,LR
13,S6_T5_color_frame2135.jpg,0,0,5,5,0,L-R,"[2, 3, 5]",3,5,R
14,S6_T5_color_frame2211.jpg,0,0,6,6,0,L-R,"[2, 3, 5]",3,5,R
15,S6_T5_color_frame2396.jpg,0,1,0,0,0,L-R,"[2, 3, 5]",3,2,L
16,S6_T5_color_frame2527.jpg,0,0,1,1,0,L-R,"[2, 3, 5]",3,2,L
17,S6_T5_color_frame2599.jpg,0,0,2,2,0,L-R,"[2, 3, 5]",3,2,L
18,S6_T5_color_frame2660.jpg,0,0,3,3,0,L-R,"[2, 3, 5]",3,2,LR
19,S6_T5_color_frame2738.jpg,0,0,4,4,0,L-R,"[2, 3, 5]",3,2,LR
20,S6_T5_color_frame2811.jpg,0,0,5,5,0,L-R,"[2, 3, 5]",3,2,R
21,S6_T6_color_frame103.jpg,0,0,6,6,0,L-R,"[2, 3, 5]",3,2,R
22,S6_T6_color_frame279.jpg,1,1,0,0,0,R-L,"[1, 3, 6]",2,3,R
